FORGETYPEID;LABEL
autodesk.unit.symbol:psf-1.0.1;psf
autodesk.unit.symbol:lbForcePerFtSup2-1.0.1;lb/ft²
autodesk.unit.symbol:lbfPerFtSup2-1.0.1;lbf/ft²
autodesk.unit.symbol:nDashM-1.0.1;N-m
autodesk.unit.symbol:daNDashM-1.0.1;daN-m
autodesk.unit.symbol:kNDashM-1.0.1;kN-m
autodesk.unit.symbol:mNDashM-1.0.1;MN-m
autodesk.unit.symbol:kipDashFt-1.0.1;kip-ft
autodesk.unit.symbol:kgfDashM-1.0.1;kgf-m
autodesk.unit.symbol:tfDashM-1.0.1;Tf-m
autodesk.unit.symbol:lbForceDashFt-1.0.1;lb-ft
autodesk.unit.symbol:lbfDashFt-1.0.1;lbf-ft
autodesk.unit.symbol:mPerKN-1.0.0;m/kN
autodesk.unit.symbol:ftPerKip-1.0.0;ft/kip
autodesk.unit.symbol:mSup2PerKN-1.0.1;m²/kN
autodesk.unit.symbol:ftSup2PerKip-1.0.1;ft²/kip
autodesk.unit.symbol:mSup3PerKN-1.0.1;m³/kN
autodesk.unit.symbol:ftSup3PerKip-1.0.1;ft³/kip
autodesk.unit.symbol:invKN-1.0.0;1/kN
autodesk.unit.symbol:invKip-1.0.0;1/kip
autodesk.unit.symbol:ftH2OPer100ft-1.0.1;ftH2O/100ft
autodesk.unit.symbol:ftOfWaterPer100ft-1.0.1;FT/100ft
autodesk.unit.symbol:feetOfWaterPer100ft-1.0.1;Feet/100ft
autodesk.unit.symbol:ftH2O-1.0.1;ftH2O
autodesk.unit.symbol:ftOfWater-1.0.1;FT
autodesk.unit.symbol:feetOfWater-1.0.1;Feet
autodesk.unit.symbol:paDashS-1.0.1;Pa-s
autodesk.unit.symbol:lbMassPerFtDashS-1.0.1;lb/ft-s
autodesk.unit.symbol:lbmPerFtDashS-1.0.1;lbm/ft-s
autodesk.unit.symbol:cP-1.0.1;cP
autodesk.unit.symbol:ftPerS-1.0.1;ft/s
autodesk.unit.symbol:fps-1.0.1;FPS
autodesk.unit.symbol:ksi-1.0.1;ksi
autodesk.unit.symbol:kipPerInSup2-1.0.1;kip/in²
autodesk.unit.symbol:kNPerMSup3-1.0.1;kN/m³
autodesk.unit.symbol:lbForcePerFtSup3-1.0.1;lb/ft³
autodesk.unit.symbol:lbfPerFtSup3-1.0.1;lbf/ft³
autodesk.unit.symbol:kipPerInSup3-1.0.1;kip/in³
autodesk.unit.symbol:invDegreeF-1.0.1;1/°F
autodesk.unit.symbol:invDegreeC-1.0.1;1/°C
autodesk.unit.symbol:nDashMPerM-1.0.1;N-m/m
autodesk.unit.symbol:daNDashMPerM-1.0.1;daN-m/m
autodesk.unit.symbol:kNDashMPerM-1.0.1;kN-m/m
autodesk.unit.symbol:mNDashMPerM-1.0.1;MN-m/m
autodesk.unit.symbol:kipDashFtPerFt-1.0.1;kip-ft/ft
autodesk.unit.symbol:kgfDashMPerM-1.0.1;kgf-m/m
autodesk.unit.symbol:tfDashMPerM-1.0.1;Tf-m/m
autodesk.unit.symbol:lbForceDashFtPerFt-1.0.1;lb-ft/ft
autodesk.unit.symbol:lbfDashFtPerFt-1.0.1;lbf-ft/ft
autodesk.unit.symbol:lbMassPerFtDashH-1.0.1;lb/ft-h
autodesk.unit.symbol:lbmPerFtDashH-1.0.1;lbm/ft-h
autodesk.unit.symbol:kipPerIn-1.0.1;kip/in
autodesk.unit.symbol:kipPerFtSup3-1.0.1;kip/ft³
autodesk.unit.symbol:kipDashFtPerDegree-1.0.1;kip-ft/°
autodesk.unit.symbol:kNDashMPerDegree-1.0.1;kN-m/°
autodesk.unit.symbol:kipDashFtPerDegreePerFt-1.0.1;kip-ft/°/ft
autodesk.unit.symbol:kNDashMPerDegreePerM-1.0.1;kN-m/°/m
autodesk.unit.symbol:wPerMSup2K-1.0.1;W/(m²·K)
autodesk.unit.symbol:btuPerHFtSup2DegreeF-1.0.1;BTU/(h·ft²·°F)
autodesk.unit.symbol:cfmPerFtSup2-1.0.1;CFM/ft²
autodesk.unit.symbol:cfmPerSf-1.0.1;CFM/SF
autodesk.unit.symbol:lpsPerMSup2-1.0.1;LPS/m²
autodesk.unit.symbol:lPerSMSup2-1.0.1;L/(s·m²)
autodesk.unit.symbol:colon10-1.0.1;:10
autodesk.unit.symbol:colon12-1.0.1;:12
autodesk.unit.symbol:slopeDegree-1.0.0;°
autodesk.unit.symbol:wPerFtSup3-1.0.1;W/ft³
autodesk.unit.symbol:wPerMSup3-1.0.1;W/m³
autodesk.unit.symbol:btuPerHFtSup2-1.0.1;Btu/(h·ft²)
autodesk.unit.symbol:btuPerHFtSup3-1.0.1;Btu/(h·ft³)
autodesk.unit.symbol:ton-1.0.1;ton
autodesk.unit.symbol:tonOfRefrigeration-1.0.1;ton of refrigeration
autodesk.unit.symbol:cfmPerFtSup3-1.0.1;CFM/ft³
autodesk.unit.symbol:cfmPerCf-1.0.1;CFM/CF
autodesk.unit.symbol:lPerSMSup3-1.0.1;L/(s·m³)
autodesk.unit.symbol:cfmPerTon-1.0.1;CFM/ton
autodesk.unit.symbol:lPerSKw-1.0.1;L/(s·kW)
autodesk.unit.symbol:ftSup2PerTon-1.0.1;ft²/ton
autodesk.unit.symbol:sfPerTon-1.0.1;SF/ton
autodesk.unit.symbol:mSup2PerKw-1.0.1;m²/kW
autodesk.unit.symbol:usDollar-1.0.0;$
autodesk.unit.symbol:euroSuffix-1.0.0;€
autodesk.unit.symbol:euroPrefix-1.0.0;€
autodesk.unit.symbol:ukPound-1.0.0;£
autodesk.unit.symbol:yen-1.0.0;¥
autodesk.unit.symbol:chineseHongKongDollar-1.0.0;HK$
autodesk.unit.symbol:won-1.0.0;₩
autodesk.unit.symbol:shekel-1.0.0;₪
autodesk.unit.symbol:dong-1.0.0;₫
autodesk.unit.symbol:baht-1.0.0;฿
autodesk.unit.symbol:krone-1.0.0;kr
autodesk.unit.symbol:lmPerW-1.0.1;lm/W
autodesk.unit.symbol:sfPerMbh-1.0.1;SF/MBh
autodesk.unit.symbol:sfHPerKbtu-1.0.1;SF·h/kBtu
autodesk.unit.symbol:ftSup2PerMbh-1.0.1;ft²/MBh
autodesk.unit.symbol:ftSup2HPerKbtu-1.0.1;ft²·h/kBtu
autodesk.unit.symbol:kNPerCmSup2-1.0.1;kN/cm²
autodesk.unit.symbol:nPerMmSup2-1.0.1;N/mm²
autodesk.unit.symbol:kNPerMmSup2-1.0.1;kN/mm²
autodesk.unit.symbol:1Colon-1.0.1;1:
autodesk.unit.symbol:hFtSup2DegreeFPerBtu-1.0.1;(h·ft²·°F)/BTU
autodesk.unit.symbol:mSup2KPerW-1.0.1;(m²·K)/W
autodesk.unit.symbol:btuPerDegreeF-1.0.1;BTU/°F
autodesk.unit.symbol:jPerK-1.0.1;J/K
autodesk.unit.symbol:kJPerK-1.0.1;kJ/K
autodesk.unit.symbol:kg-1.0.0;kg
autodesk.unit.symbol:tonne-1.0.1;t
autodesk.unit.symbol:lbMass-1.0.1;lb
autodesk.unit.symbol:lbm-1.0.1;lbm
autodesk.unit.symbol:mPerSSup2-1.0.1;m/s²
autodesk.unit.symbol:kmPerSSup2-1.0.1;km/s²
autodesk.unit.symbol:inPerSSup2-1.0.1;in/s²
autodesk.unit.symbol:ftPerSSup2-1.0.1;ft/s²
autodesk.unit.symbol:miPerSSup2-1.0.1;mi/s²
autodesk.unit.symbol:ftSup4-1.0.1;ft⁴
autodesk.unit.symbol:inSup4-1.0.1;in⁴
autodesk.unit.symbol:mmSup4-1.0.1;mm⁴
autodesk.unit.symbol:cmSup4-1.0.1;cm⁴
autodesk.unit.symbol:mSup4-1.0.1;m⁴
autodesk.unit.symbol:ftSup6-1.0.1;ft⁶
autodesk.unit.symbol:inSup6-1.0.1;in⁶
autodesk.unit.symbol:mmSup6-1.0.1;mm⁶
autodesk.unit.symbol:cmSup6-1.0.1;cm⁶
autodesk.unit.symbol:mSup6-1.0.1;m⁶
autodesk.unit.symbol:ftSup2PerFt-1.0.1;ft²/ft
autodesk.unit.symbol:inSup2PerFt-1.0.1;in²/ft
autodesk.unit.symbol:mmSup2PerM-1.0.1;mm²/m
autodesk.unit.symbol:cmSup2PerM-1.0.1;cm²/m
autodesk.unit.symbol:mSup2PerM-1.0.1;m²/m
autodesk.unit.symbol:kgPerM-1.0.1;kg/m
autodesk.unit.symbol:lbMassPerFt-1.0.1;lb/ft
autodesk.unit.symbol:lbmPerFt-1.0.1;lbm/ft
autodesk.unit.symbol:rad-1.0.0;rad
autodesk.unit.symbol:grad-1.0.1;grad
autodesk.unit.symbol:radPerS-1.0.1;rad/s
autodesk.unit.symbol:ms-1.0.1;ms
autodesk.unit.symbol:second-1.0.0;s
autodesk.unit.symbol:min-1.0.1;min
autodesk.unit.symbol:hour-1.0.1;h
autodesk.unit.symbol:kmPerH-1.0.1;km/h
autodesk.unit.symbol:mph-1.0.1;mph
autodesk.unit.symbol:kJ-1.0.1;kJ
autodesk.unit.symbol:kgPerMSup2-1.0.1;kg/m²
autodesk.unit.symbol:lbMassPerFtSup2-1.0.1;lb/ft²
autodesk.unit.symbol:wPerMK-1.0.1;W/(m·K)
autodesk.unit.symbol:jPerGDegreeC-1.0.1;J/(g·°C)
autodesk.unit.symbol:jPerG-1.0.1;J/g
autodesk.unit.symbol:ngPerPaSMSup2-1.0.1;ng/(Pa·s·m²)
autodesk.unit.symbol:ohmM-1.0.1;ohm·m
autodesk.unit.symbol:btuPerHFtDegreeF-1.0.1;BTU/(h·ft·°F)
autodesk.unit.symbol:btuPerLbDegreeF-1.0.1;BTU/(lb·°F)
autodesk.unit.symbol:btuPerLb-1.0.1;BTU/lb
autodesk.unit.symbol:grPerHFtSup2InHg-1.0.1;gr/(h·ft²·inHg)
autodesk.unit.symbol:perMille-1.0.1;‰
autodesk.unit.symbol:dm-1.0.1;dm
autodesk.unit.symbol:jPerKgDegreeC-1.0.1;J/(kg·°C)
autodesk.unit.symbol:umPerMDegreeC-1.0.1;µm/(m·°C)
autodesk.unit.symbol:uinPerInDegreeF-1.0.1;µin/(in·°F)
autodesk.unit.symbol:usTonnesMassTons-1.0.1;Tons
autodesk.unit.symbol:usTonnesMassT-1.0.1;T
autodesk.unit.symbol:usTonnesMassSt-1.0.1;ST
autodesk.unit.symbol:tonsf-1.0.1;Tonsf
autodesk.unit.symbol:stf-1.0.1;STf
autodesk.unit.symbol:usTonnesForceTons-1.0.1;Tons
autodesk.unit.symbol:usTonnesForceT-1.0.1;T
autodesk.unit.symbol:usTonnesForceSt-1.0.1;ST
autodesk.unit.symbol:lPerMin-1.0.1;L/min
autodesk.unit.symbol:lpm-1.0.1;LPM
autodesk.unit.symbol:degreeFInterval-1.0.1;°F
autodesk.unit.symbol:deltaDegreeF-1.0.1;delta°F
autodesk.unit.symbol:degreeCInterval-1.0.1;°C
autodesk.unit.symbol:deltaDegreeC-1.0.1;delta°C
autodesk.unit.symbol:kelvinInterval-1.0.0;K
autodesk.unit.symbol:deltaK-1.0.0;deltaK
autodesk.unit.symbol:degreeRInterval-1.0.1;°R
autodesk.unit.symbol:deltaDegreeR-1.0.1;delta°R
autodesk.unit.symbol:usft-1.0.0;USft
